Number of matches,12
Team Name,BLLDGS
Team Number,
Match Num, 2
Alliance,Red
Scout Name,
AUTON Initiation Line,0
Power Cell Lower,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Power Cell Outer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Power Cell Inner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Power Cell Miss,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Control Panel Rotation,0
Control Panel Position,0
Game Park,0
Climb Attempt,0
Climb Success,1
Balance Success,0
#
Team Name,BLLDGS
Team Number,
Match Num, 3
Alliance,Red
Scout Name,
AUTON Initiation Line,0
Power Cell Lower,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Power Cell Outer,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Power Cell Inner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Power Cell Miss,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Control Panel Rotation,0
Control Panel Position,1
Game Park,0
Climb Attempt,0
Climb Success,1
Balance Success,0
#
Team Name,BLLDGS
Team Number,
Match Num, 4
Alliance,Blue
Scout Name,
AUTON Initiation Line,0
Power Cell Lower,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Power Cell Outer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Power Cell Inner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Power Cell Miss,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Control Panel Rotation,0
Control Panel Position,0
Game Park,0
Climb Attempt,1
Climb Success,1
Balance Success,0
#
Team Name,BLLDGS
Team Number,
Match Num, 5
Alliance,Blue
Scout Name,
AUTON Initiation Line,0
Power Cell Lower,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Power Cell Outer,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Power Cell Inner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Power Cell Miss,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Control Panel Rotation,0
Control Panel Position,0
Game Park,0
Climb Attempt,1
Climb Success,1
Balance Success,0
#
Team Name,BLLDGS
Team Number,
Match Num, 6
Alliance,Blue
Scout Name,
AUTON Initiation Line,0
Power Cell Lower,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Power Cell Outer,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Power Cell Inner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Power Cell Miss,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Control Panel Rotation,0
Control Panel Position,0
Game Park,0
Climb Attempt,1
Climb Success,1
Balance Success,0
#
Team Name,BLLDGS
Team Number,
Match Num, 8
Alliance,Blue
Scout Name,
AUTON Initiation Line,0
Power Cell Lower,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Power Cell Outer,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Power Cell Inner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Power Cell Miss,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Control Panel Rotation,0
Control Panel Position,0
Game Park,0
Climb Attempt,1
Climb Success,1
Balance Success,0
#
Team Name,
Team Number,
Match Num,
Alliance,Blue
Scout Name,
AUTON Initiation Line,0
