Team Number,Team Name,Match Number,Comp ID,Scout Name,Initiation Line,(A) Lower PC,(A) Outer PC,(A) Inner PC,(A) Missed PC,(A) Made/Shot PC,(A) Points,(T) Lower PC,(T) Outer PC,(T) Inner PC,(T) Missed PC,(T) Made:Shot PC,(T) Cycles,(T) Shot/Cycle PC,(T) Scored/Cycle,(T) Control Panel Rotation,(T) Control Panel Position,(T) Points,(E) Parked,(E) Attemped Climb,(E) Successful Climb,(E) Balanced Climb,(G) Robot Disabled,(E) Points, TOTAL SCORE
3538,RoboJackets,56,misou,Cheston,1,0,1,2,0,100.0%,21,0,18,9,0,100.0%,6,4.5,4.5,0,0,63,0,0,1,1,0,40,124
7191,ABT Gators,58,misou, Ther on,1,0,0,0,0,0.0%,5,0,0,0,0,0.0%,0,1,1,0,0,0,1,0,0,0,0,5,10
573,Mech Warriors,59,misou,Theron,1,0,1,0,2,33.33333333333333%,9,0,7,0,0,100.0%,3,2.3333333333333335,2.3333333333333335,0,0,14,0,1,1,0,0,25,48
5090,TorqueNados,60,misou, Theron,1,0,0,0,0,0.0%,5,0,0,0,0,0.0%,0,1,1,0,0,0,1,1,0,0,0,5,10
4758,RoboBlazers,61,misou,quincy,1,0,0,0,0,0.0%,5,1,0,1,0,100.0%,2,1.0,1.0,0,0,4,1,1,0,0,0,5,14
8280,The School at Marygrove,62,misou, Theron,1,0,0,0,0,0.0%,5,0,0,0,0,0.0%,0,1,1,0,0,0,1,0,0,0,0,5,10
247,Da Bears dabears,63,misou, Theron,0,0,0,0,0,0.0%,0,0,0,0,0,0.0%,0,1,1,0,0,0,0,0,0,0,150,0,0
7145,Hurricanes,64,misou,quincy,1,0,0,0,0,0.0%,5,0,0,0,0,0.0%,0,1,1,0,0,0,1,0,0,0,0,5,10
4768,Cody Comets,55,misou,Alex,1,0,3,0,0,100.0%,17,0,0,0,0,0.0%,0,1,1,0,0,0,1,1,0,0,0,5,22
4840,The Panthers,57,misou,Alex,1,0,0,0,0,0.0%,5,0,0,0,0,0.0%,0,1,1,0,0,0,1,0,0,0,0,5,10
6120,CyberStangs,58,misou,Alex,1,0,0,0,0,0.0%,5,0,12,0,1,92.3076923076923%,3,4.333333333333333,4.0,0,0,24,1,0,0,0,0,5,34
5695,Heavy Duty Eagles,59,misou,Alex,1,0,0,0,0,0.0%,5,0,2,1,1,75.0%,2,2.0,1.5,0,0,7,1,0,0,0,0,5,17
5214,The Mighty CavBots,60,misou,Alex,1,0,0,0,0,0.0%,5,6,0,0,1,85.71428571428571%,2,3.5,3.0,0,0,6,1,1,0,0,0,5,16
6013,Robowolves,61,misou,Alex,1,0,2,0,0,100.0%,13,1,0,0,1,50.0%,1,2.0,1.0,0,0,1,1,1,0,0,0,5,19
835,The Sting,62,misou,Alex,1,0,0,0,1,0.0%,5,0,2,0,5,28.57142857142857%,7,1.0,0.2857142857142857,0,0,4,1,0,0,0,0,5,14
7716,JLW Formula 01,63,misou,Alex,0,0,0,0,0,0.0%,0,0,0,0,1,0.0%,1,1.0,0.0,0,0,0,1,0,0,0,0,5,5
3096,The Village Bulldogs,64,misou,Alex,0,0,0,0,0,0.0%,0,15,0,0,0,100.0%,4,3.75,3.75,0,0,15,0,0,0,0,0,0,15
5577,Kinematic Wolves,55,misou,Kenneth ,0,0,0,0,0,0.0%,0,0,1,0,2,33.33333333333333%,2,1.5,0.5,0,0,2,1,0,0,0,0,5,7
240,TEMPEST,56,misou,,0,0,1,0,0,100.0%,4,0,0,0,1,0.0%,1,1.0,0.0,0,0,0,0,0,1,1,0,40,44
33,Killer Bees,57,misou,,1,0,0,2,2,50.0%,17,0,10,5,6,71.42857142857143%,5,4.2,3.0,0,0,35,1,1,0,0,0,5,57
4768,Cody Comets,58,misou,,1,0,3,0,0,100.0%,17,0,0,0,1,0.0%,1,1.0,0.0,0,0,0,1,1,0,0,0,5,22
5498,The Wired Devils,59,misou,,1,0,2,0,1,66.66666666666666%,13,0,2,0,3,40.0%,1,5.0,2.0,0,0,4,1,0,0,0,0,5,22
8179,Robo-Falcons,60,misou,,1,0,2,0,1,66.66666666666666%,13,0,2,0,2,50.0%,2,2.0,1.0,0,0,4,1,1,0,0,0,5,22
240,TEMPEST,61,misou,Gavin D.,0,0,1,0,2,33.33333333333333%,4,0,3,0,0,100.0%,1,3.0,3.0,0,0,6,1,0,0,0,0,5,15
7232,Pharaohs,62,misou,Gavin D.,1,0,0,0,0,0.0%,5,0,0,0,1,0.0%,1,1.0,0.0,0,0,0,1,0,0,0,0,5,10
5531,Orange Crush,63,misou,Gavin,0,0,0,0,0,0.0%,0,1,1,0,8,20.0%,4,2.5,0.5,0,0,3,1,0,0,0,0,5,8
6120,CyberStangs,64,misou,,1,0,0,0,0,0.0%,5,0,2,0,0,100.0%,1,2.0,2.0,0,0,4,1,0,0,0,0,5,14
5498,The Wired Devils,55,misou,Evan,1,0,0,2,1,66.66666666666666%,17,0,1,0,3,25.0%,1,4.0,1.0,0,0,2,1,1,0,0,0,5,24
5695,Heavy Duty Eagles,56,misou,Evan,1,0,0,0,0,0.0%,5,0,0,0,2,0.0%,1,2.0,0.0,0,0,0,0,0,0,0,0,0,5
7856,UPAD Fusion,57,misou,Evan,1,0,0,0,0,0.0%,5,0,0,0,4,0.0%,2,2.0,0.0,0,0,0,0,0,0,0,0,0,5
7865,Hope of Detroit Robotics,58,misou,Evan,0,0,0,0,0,0.0%,0,0,0,0,0,0.0%,0,1,1,0,0,0,1,0,0,0,0,5,5
5532,The G.O.A.T.S,59,misou,Cheston,1,0,0,0,0,0.0%,5,0,0,0,0,0.0%,0,1,1,0,0,0,0,0,1,1,0,40,45
3096,The Village Bulldogs,61,misou,Cheston,0,0,0,0,0,0.0%,0,5,0,8,0,100.0%,3,4.333333333333333,4.333333333333333,0,0,29,0,1,0,0,0,0,29
94,The  Ninetyfouriors,62,misou,Cheston,1,0,0,0,0,0.0%,5,0,0,0,0,0.0%,0,1,1,0,0,0,0,0,0,0,65,0,5
7856,UPAD Fusion,63,misou,Cheston,1,0,0,0,0,0.0%,5,0,1,0,2,33.33333333333333%,1,3.0,1.0,0,0,2,1,0,0,0,0,5,12
33,Killer Bees,64,misou,Cheston,1,0,0,0,0,0.0%,5,0,0,0,5,0.0%,2,2.5,0.0,0,0,0,0,0,1,0,0,25,30
