Team Number,Team Name,Match Number,Comp ID,Scout Name,Initiation Line,(A) Lower PC,(A) Outer PC,(A) Inner PC,(A) Missed PC,(A) Made/Shot PC,(A) Points,(T) Lower PC,(T) Outer PC,(T) Inner PC,(T) Missed PC,(T) Made:Shot PC,(T) Cycles,(T) Shot/Cycle PC,(T) Scored/Cycle,(T) Control Panel Rotation,(T) Control Panel Position,(T) Points,(E) Parked,(E) Attemped Climb,(E) Successful Climb,(E) Balanced Climb,(G) Robot Disabled,(E) Points, TOTAL SCORE
1073,,1,,Ella,0,0,0,0,0,0.0%,0,0,0,0,0,0.0%,0,1,1,0,0,0,1,1,0,0,0,5,5
5687,,2,,ella,1,0,2,1,0,100.0%,19,0,1,0,10,9.090909090909092%,4,2.75,0.25,0,0,2,1,0,0,0,0,5,26
58,,1,,Kenneth,0,0,0,0,0,0.0%,0,0,0,0,0,0.0%,0,1,1,0,0,0,1,0,0,0,0,5,5
1519,,2,,Kenneth,1,0,0,0,0,0.0%,5,0,1,0,6,14.285714285714285%,2,3.5,0.5,0,0,2,0,0,1,1,0,40,47
58,,1,,Cheston,0,0,0,0,0,0.0%,0,0,3,0,5,37.5%,3,2.6666666666666665,1.0,0,0,6,0,0,0,0,0,0,6
1721,,2,,Cheston,0,0,0,0,0,0.0%,0,0,0,0,0,0.0%,0,1,1,0,0,0,0,0,0,0,0,0,0
2342,q,1,,,1,0,0,0,0,0.0%,5,0,0,0,0,0.0%,0,1,1,0,0,0,1,0,0,0,0,5,10
5962,,,,,1,0,0,0,0,0.0%,5,12,0,0,0,100.0%,3,4.0,4.0,0,0,12,0,1,1,0,0,25,42
 1111,BlueTwo,1,, Brian,0,0,0,0,0,0.0%,0,0,0,0,0,0.0%,0,1,1,0,0,0,1,0,0,0,0,5,5
 238,ABot, 2,,Brian,1,0,2,0,0,100.0%,13,0,4,0,2,66.66666666666666%,3,2.0,1.3333333333333333,0,0,8,1,0,0,0,0,5,26
3323,, 1,,Gavin Drews,0,0,0,0,0,0.0%,0,6,0,0,3,66.66666666666666%,3,3.0,2.0,0,0,6,1,0,0,0,0,5,11
1721,,2,,Gavin D.,0,0,0,0,0,0.0%,0,0,0,0,0,0.0%,0,1,1,0,0,0,1,0,0,0,0,5,5
,,,,,0,0,0,0,0,0.0%,0,0,0,0,0,0.0%,0,1,1,0,0,0,0,0,0,0,0,0,0
